mode: set
Qingyu_backend/config/cache.go:25.40,37.2 1 1
Qingyu_backend/config/database.go:170.81,171.49 1 1
Qingyu_backend/config/database.go:171.49,173.4 1 0
Qingyu_backend/config/database.go:174.3,174.52 1 1
Qingyu_backend/config/database.go:174.52,176.4 1 0
Qingyu_backend/config/database.go:177.3,177.69 1 1
Qingyu_backend/config/database.go:177.69,178.68 1 0
Qingyu_backend/config/database.go:178.68,180.5 1 0
Qingyu_backend/config/database.go:184.3,184.65 1 1
Qingyu_backend/config/database.go:184.65,185.69 1 1
Qingyu_backend/config/database.go:185.69,187.5 1 1
Qingyu_backend/config/database.go:189.3,189.59 1 1
Qingyu_backend/config/database.go:189.59,190.74 1 1
Qingyu_backend/config/database.go:190.74,192.5 1 1
Qingyu_backend/config/database.go:194.3,194.68 1 1
Qingyu_backend/config/database.go:194.68,195.74 1 1
Qingyu_backend/config/database.go:195.74,197.5 1 1
Qingyu_backend/config/database.go:202.2,202.87 1 1
Qingyu_backend/config/database.go:202.87,203.53 1 0
Qingyu_backend/config/database.go:203.53,205.4 1 0
Qingyu_backend/config/database.go:206.3,206.53 1 0
Qingyu_backend/config/database.go:206.53,207.48 1 0
Qingyu_backend/config/database.go:207.48,209.5 1 0
Qingyu_backend/config/database.go:211.3,211.47 1 0
Qingyu_backend/config/database.go:211.47,213.4 1 0
Qingyu_backend/config/database.go:214.3,214.53 1 0
Qingyu_backend/config/database.go:214.53,216.4 1 0
Qingyu_backend/config/database.go:217.3,217.65 1 0
Qingyu_backend/config/database.go:217.65,219.4 1 0
Qingyu_backend/config/database.go:222.2,222.12 1 1
Qingyu_backend/config/database.go:226.43,228.45 1 1
Qingyu_backend/config/database.go:228.45,230.3 1 0
Qingyu_backend/config/database.go:233.2,233.37 1 1
Qingyu_backend/config/database.go:233.37,234.44 1 0
Qingyu_backend/config/database.go:234.44,236.4 1 0
Qingyu_backend/config/database.go:239.2,239.12 1 1
Qingyu_backend/config/database.go:243.47,244.16 1 1
Qingyu_backend/config/database.go:245.27,246.23 1 1
Qingyu_backend/config/database.go:246.23,248.4 1 0
Qingyu_backend/config/database.go:249.3,249.30 1 1
Qingyu_backend/config/database.go:250.30,251.26 1 0
Qingyu_backend/config/database.go:251.26,253.4 1 0
Qingyu_backend/config/database.go:254.3,254.33 1 0
Qingyu_backend/config/database.go:255.25,256.21 1 0
Qingyu_backend/config/database.go:256.21,258.4 1 0
Qingyu_backend/config/database.go:259.3,259.28 1 0
Qingyu_backend/config/database.go:260.10,261.63 1 0
Qingyu_backend/config/database.go:266.42,267.17 1 1
Qingyu_backend/config/database.go:267.17,269.3 1 0
Qingyu_backend/config/database.go:270.2,270.22 1 1
Qingyu_backend/config/database.go:270.22,272.3 1 0
Qingyu_backend/config/database.go:273.2,273.50 1 1
Qingyu_backend/config/database.go:273.50,275.3 1 1
Qingyu_backend/config/database.go:276.2,276.18 1 1
Qingyu_backend/config/database.go:276.18,278.3 1 1
Qingyu_backend/config/database.go:279.2,279.26 1 1
Qingyu_backend/config/database.go:279.26,281.3 1 1
Qingyu_backend/config/database.go:282.2,282.24 1 1
Qingyu_backend/config/database.go:282.24,284.3 1 1
Qingyu_backend/config/database.go:285.2,285.24 1 1
Qingyu_backend/config/database.go:285.24,287.3 1 1
Qingyu_backend/config/database.go:288.2,288.27 1 1
Qingyu_backend/config/database.go:288.27,290.3 1 1
Qingyu_backend/config/database.go:291.2,291.26 1 1
Qingyu_backend/config/database.go:291.26,293.3 1 1
Qingyu_backend/config/database.go:294.2,294.12 1 1
Qingyu_backend/config/database.go:298.45,299.18 1 0
Qingyu_backend/config/database.go:299.18,301.3 1 0
Qingyu_backend/config/database.go:302.2,302.17 1 0
Qingyu_backend/config/database.go:302.17,304.3 1 0
Qingyu_backend/config/database.go:305.2,305.22 1 0
Qingyu_backend/config/database.go:305.22,307.3 1 0
Qingyu_backend/config/database.go:308.2,308.22 1 0
Qingyu_backend/config/database.go:308.22,310.3 1 0
Qingyu_backend/config/database.go:311.2,311.21 1 0
Qingyu_backend/config/database.go:311.21,313.3 1 0
Qingyu_backend/config/database.go:314.2,314.25 1 0
Qingyu_backend/config/database.go:314.25,316.3 1 0
Qingyu_backend/config/database.go:317.2,317.25 1 0
Qingyu_backend/config/database.go:317.25,319.3 1 0
Qingyu_backend/config/database.go:320.2,320.24 1 0
Qingyu_backend/config/database.go:320.24,322.3 1 0
Qingyu_backend/config/database.go:323.2,323.12 1 0
Qingyu_backend/config/database.go:327.40,328.18 1 0
Qingyu_backend/config/database.go:328.18,330.3 1 0
Qingyu_backend/config/database.go:331.2,331.17 1 0
Qingyu_backend/config/database.go:331.17,333.3 1 0
Qingyu_backend/config/database.go:334.2,334.22 1 0
Qingyu_backend/config/database.go:334.22,336.3 1 0
Qingyu_backend/config/database.go:337.2,337.22 1 0
Qingyu_backend/config/database.go:337.22,339.3 1 0
Qingyu_backend/config/database.go:340.2,340.21 1 0
Qingyu_backend/config/database.go:340.21,342.3 1 0
Qingyu_backend/config/database.go:343.2,343.25 1 0
Qingyu_backend/config/database.go:343.25,345.3 1 0
Qingyu_backend/config/database.go:346.2,346.25 1 0
Qingyu_backend/config/database.go:346.25,348.3 1 0
Qingyu_backend/config/database.go:349.2,349.24 1 0
Qingyu_backend/config/database.go:349.24,351.3 1 0
Qingyu_backend/config/database.go:352.2,352.12 1 0
Qingyu_backend/config/database.go:357.69,370.2 1 1
Qingyu_backend/config/database.go:373.72,386.2 1 0
Qingyu_backend/config/database.go:389.55,390.42 1 1
Qingyu_backend/config/database.go:390.42,392.3 1 0
Qingyu_backend/config/database.go:393.2,393.21 1 1
Qingyu_backend/config/database.go:397.74,399.16 2 0
Qingyu_backend/config/database.go:399.16,401.3 1 0
Qingyu_backend/config/database.go:403.2,403.61 1 0
Qingyu_backend/config/database.go:403.61,405.3 1 0
Qingyu_backend/config/database.go:407.2,407.12 1 0
Qingyu_backend/config/database.go:417.82,419.16 2 0
Qingyu_backend/config/database.go:419.16,421.3 1 0
Qingyu_backend/config/database.go:423.2,426.8 1 0
Qingyu_backend/config/database.go:430.61,432.2 1 0
Qingyu_backend/config/database.go:435.76,436.42 1 0
Qingyu_backend/config/database.go:436.42,438.3 1 0
Qingyu_backend/config/database.go:440.2,443.24 2 0
Qingyu_backend/config/database.go:443.24,445.3 1 0
Qingyu_backend/config/database.go:447.2,447.12 1 0
Qingyu_backend/config/database.go:451.85,455.2 2 0
Qingyu_backend/config/database.go:458.58,462.2 2 0
Qingyu_backend/config/database.go:465.84,470.2 3 0
Qingyu_backend/config/database.go:473.53,476.2 2 0
Qingyu_backend/config/env.go:10.46,12.17 2 0
Qingyu_backend/config/env.go:12.17,14.3 1 0
Qingyu_backend/config/env.go:15.2,15.14 1 0
Qingyu_backend/config/env.go:19.53,21.17 2 0
Qingyu_backend/config/env.go:21.17,23.3 1 0
Qingyu_backend/config/env.go:24.2,24.57 1 0
Qingyu_backend/config/env.go:28.50,30.17 2 0
Qingyu_backend/config/env.go:30.17,32.3 1 0
Qingyu_backend/config/env.go:33.2,34.60 2 0
Qingyu_backend/config/env.go:34.60,36.3 1 0
Qingyu_backend/config/env.go:37.2,37.15 1 0
Qingyu_backend/config/feature_flags.go:12.38,14.2 1 1
Qingyu_backend/config/feature_flags.go:17.54,21.2 3 1
Qingyu_backend/config/feature_flags.go:24.46,28.2 3 1
Qingyu_backend/config/jwt.go:6.48,9.52 2 0
Qingyu_backend/config/jwt.go:9.52,11.3 1 0
Qingyu_backend/config/jwt.go:11.8,17.3 1 0
Qingyu_backend/config/jwt.go:20.2,25.3 1 0
Qingyu_backend/config/oauth_config.go:13.50,17.2 1 0
Qingyu_backend/config/oauth_config.go:20.44,22.76 1 0
Qingyu_backend/config/oauth_config.go:22.76,32.3 1 0
Qingyu_backend/config/oauth_config.go:35.2,35.76 1 0
Qingyu_backend/config/oauth_config.go:35.76,45.3 1 0
Qingyu_backend/config/oauth_config.go:48.2,48.64 1 0
Qingyu_backend/config/oauth_config.go:48.64,58.3 1 0
Qingyu_backend/config/oauth_config.go:61.2,61.76 1 0
Qingyu_backend/config/oauth_config.go:61.76,71.3 1 0
Qingyu_backend/config/oauth_config.go:74.2,74.73 1 0
Qingyu_backend/config/oauth_config.go:74.73,84.3 1 0
Qingyu_backend/config/oauth_config.go:88.58,90.22 1 0
Qingyu_backend/config/oauth_config.go:90.22,91.43 1 0
Qingyu_backend/config/oauth_config.go:91.43,93.4 1 0
Qingyu_backend/config/oauth_config.go:98.77,100.2 1 0
Qingyu_backend/config/oauth_config.go:103.88,106.2 2 0
Qingyu_backend/config/oauth_config.go:109.70,112.2 2 0
Qingyu_backend/config/oauth_config.go:115.61,117.42 2 0
Qingyu_backend/config/oauth_config.go:117.42,118.21 1 0
Qingyu_backend/config/oauth_config.go:118.21,120.4 1 0
Qingyu_backend/config/oauth_config.go:122.2,122.18 1 0
Qingyu_backend/config/redis.go:31.40,51.2 1 0
Qingyu_backend/config/redis.go:57.36,58.30 1 0
Qingyu_backend/config/redis.go:58.30,60.3 1 0
Qingyu_backend/config/redis.go:61.2,61.26 1 0
Qingyu_backend/config/redis.go:65.39,67.2 1 0
Qingyu_backend/config/reload.go:16.57,20.2 3 0
Qingyu_backend/config/reload.go:23.43,27.2 3 0
Qingyu_backend/config/reload.go:30.27,34.44 3 0
Qingyu_backend/config/reload.go:34.44,35.10 1 0
Qingyu_backend/config/reload.go:35.10,36.17 1 0
Qingyu_backend/config/reload.go:36.17,37.33 1 0
Qingyu_backend/config/reload.go:37.33,39.6 1 0
Qingyu_backend/config/reload.go:41.4,41.13 1 0
Qingyu_backend/config/reload.go:47.24,48.21 1 0
Qingyu_backend/config/reload.go:48.21,51.3 2 0
Qingyu_backend/config/validation.go:11.13,13.2 1 1
Qingyu_backend/config/validation.go:16.40,17.45 1 0
Qingyu_backend/config/validation.go:17.45,19.3 1 0
Qingyu_backend/config/validation.go:20.2,20.35 1 0
Qingyu_backend/config/validation.go:24.47,25.61 1 0
Qingyu_backend/config/validation.go:25.61,27.3 1 0
Qingyu_backend/config/validation.go:29.2,29.57 1 0
Qingyu_backend/config/validation.go:29.57,31.3 1 0
Qingyu_backend/config/validation.go:33.2,33.51 1 0
Qingyu_backend/config/validation.go:33.51,35.3 1 0
Qingyu_backend/config/validation.go:37.2,37.49 1 0
Qingyu_backend/config/validation.go:37.49,39.3 1 0
Qingyu_backend/config/validation.go:41.2,41.12 1 0
Qingyu_backend/config/validation.go:45.56,46.16 1 0
Qingyu_backend/config/validation.go:46.16,48.3 1 0
Qingyu_backend/config/validation.go:51.2,51.23 1 0
Qingyu_backend/config/validation.go:55.52,56.16 1 0
Qingyu_backend/config/validation.go:56.16,58.3 1 0
Qingyu_backend/config/validation.go:60.2,60.20 1 0
Qingyu_backend/config/validation.go:60.20,62.3 1 0
Qingyu_backend/config/validation.go:64.2,64.50 1 0
Qingyu_backend/config/validation.go:64.50,66.3 1 0
Qingyu_backend/config/validation.go:68.2,68.12 1 0
Qingyu_backend/config/validation.go:72.46,73.16 1 0
Qingyu_backend/config/validation.go:73.16,75.3 1 0
Qingyu_backend/config/validation.go:77.2,77.22 1 0
Qingyu_backend/config/validation.go:77.22,79.3 1 0
Qingyu_backend/config/validation.go:81.2,81.30 1 0
Qingyu_backend/config/validation.go:81.30,83.3 1 0
Qingyu_backend/config/validation.go:85.2,85.12 1 0
Qingyu_backend/config/validation.go:89.44,91.36 1 0
Qingyu_backend/config/validation.go:91.36,93.3 1 0
Qingyu_backend/config/validation.go:95.2,95.23 1 0
Qingyu_backend/config/validation.go:95.23,97.3 1 0
Qingyu_backend/config/validation.go:99.2,99.24 1 0
Qingyu_backend/config/validation.go:99.24,101.3 1 0
Qingyu_backend/config/validation.go:103.2,103.49 1 0
Qingyu_backend/config/validation.go:103.49,105.3 1 0
Qingyu_backend/config/validation.go:107.2,107.12 1 0
Qingyu_backend/config/validation.go:111.37,113.25 1 0
Qingyu_backend/config/validation.go:113.25,115.65 1 0
Qingyu_backend/config/validation.go:115.65,117.4 1 0
Qingyu_backend/config/validation.go:117.9,120.4 1 0
Qingyu_backend/config/validation.go:124.2,124.22 1 0
Qingyu_backend/config/validation.go:124.22,126.3 1 0
Qingyu_backend/config/validation.go:126.8,130.3 2 0
Qingyu_backend/config/validation.go:133.2,133.22 1 0
Qingyu_backend/config/validation.go:133.22,135.3 1 0
Qingyu_backend/config/validation.go:136.2,139.23 2 0
Qingyu_backend/config/validation.go:139.23,141.3 1 0
Qingyu_backend/config/validation.go:142.2,142.27 1 0
Qingyu_backend/config/validation.go:142.27,144.3 1 0
Qingyu_backend/config/validation.go:145.2,145.27 1 0
Qingyu_backend/config/validation.go:145.27,147.3 1 0
Qingyu_backend/config/validation.go:150.2,150.20 1 0
Qingyu_backend/config/validation.go:150.20,152.3 1 0
Qingyu_backend/config/validation.go:153.2,153.25 1 0
Qingyu_backend/config/validation.go:153.25,155.3 1 0
Qingyu_backend/config/validation.go:156.2,156.26 1 0
Qingyu_backend/config/validation.go:156.26,158.3 1 0
Qingyu_backend/config/validation.go:159.2,159.26 1 0
Qingyu_backend/config/validation.go:159.26,161.3 1 0
Qingyu_backend/config/validation.go:162.2,162.28 1 0
Qingyu_backend/config/validation.go:162.28,164.3 1 0
Qingyu_backend/config/validation.go:165.2,165.24 1 0
Qingyu_backend/config/validation.go:165.24,167.3 1 0
Qingyu_backend/config/validation.go:168.2,168.28 1 0
Qingyu_backend/config/validation.go:168.28,175.3 1 0
Qingyu_backend/config/validation.go:176.2,176.31 1 0
Qingyu_backend/config/validation.go:176.31,178.3 1 0
Qingyu_backend/config/validation.go:181.2,181.20 1 0
Qingyu_backend/config/validation.go:181.20,183.3 1 0
Qingyu_backend/config/validation.go:184.2,184.34 1 0
Qingyu_backend/config/validation.go:184.34,186.3 1 0
Qingyu_backend/config/validation.go:189.2,189.19 1 0
Qingyu_backend/config/validation.go:189.19,191.3 1 0
Qingyu_backend/config/validation.go:192.2,192.26 1 0
Qingyu_backend/config/validation.go:192.26,194.3 1 0
Qingyu_backend/config/validation.go:195.2,195.27 1 0
Qingyu_backend/config/validation.go:195.27,197.3 1 0
Qingyu_backend/config/validation.go:198.2,198.29 1 0
Qingyu_backend/config/validation.go:198.29,200.3 1 0
Qingyu_backend/config/validation.go:203.2,203.29 1 0
Qingyu_backend/config/validation.go:203.29,205.3 1 0
Qingyu_backend/config/validation.go:206.2,206.37 1 0
Qingyu_backend/config/validation.go:206.37,208.3 1 0
Qingyu_backend/config/validation.go:209.2,209.35 1 0
Qingyu_backend/config/validation.go:209.35,211.3 1 0
Qingyu_backend/config/validation.go:214.2,214.22 1 0
Qingyu_backend/config/validation.go:214.22,224.3 1 0
Qingyu_backend/config/validation.go:227.2,227.24 1 0
Qingyu_backend/config/validation.go:227.24,241.3 1 0
Qingyu_backend/config/validation.go:244.2,244.53 1 0
Qingyu_backend/config/validation.go:244.53,250.3 1 0
Qingyu_backend/config/validation.go:253.2,253.53 1 0
Qingyu_backend/config/validation.go:253.53,258.3 1 0
Qingyu_backend/config/viper_integration.go:19.50,23.2 1 0
Qingyu_backend/config/viper_integration.go:26.68,31.22 3 0
Qingyu_backend/config/viper_integration.go:31.22,35.3 2 0
Qingyu_backend/config/viper_integration.go:35.8,42.23 4 0
Qingyu_backend/config/viper_integration.go:42.23,44.4 1 0
Qingyu_backend/config/viper_integration.go:45.3,47.29 3 0
Qingyu_backend/config/viper_integration.go:51.2,58.31 5 0
Qingyu_backend/config/viper_integration.go:62.76,64.66 2 0
Qingyu_backend/config/viper_integration.go:64.66,66.3 1 0
Qingyu_backend/config/viper_integration.go:69.2,69.61 1 0
Qingyu_backend/config/viper_integration.go:69.61,71.3 1 0
Qingyu_backend/config/viper_integration.go:74.2,74.42 1 0
Qingyu_backend/config/viper_integration.go:74.42,76.3 1 0
Qingyu_backend/config/viper_integration.go:78.2,78.21 1 0
Qingyu_backend/config/viper_integration.go:82.63,84.51 2 0
Qingyu_backend/config/viper_integration.go:84.51,86.3 1 0
Qingyu_backend/config/viper_integration.go:89.2,90.16 2 0
Qingyu_backend/config/viper_integration.go:90.16,92.3 1 0
Qingyu_backend/config/viper_integration.go:93.2,99.48 3 0
Qingyu_backend/config/viper_integration.go:99.48,101.3 1 0
Qingyu_backend/config/viper_integration.go:103.2,103.21 1 0
Qingyu_backend/config/viper_integration.go:107.49,150.2 27 0
Qingyu_backend/config/viper_integration.go:153.86,155.81 1 0
Qingyu_backend/config/viper_integration.go:155.81,156.81 1 0
Qingyu_backend/config/viper_integration.go:156.81,158.4 1 0
Qingyu_backend/config/viper_integration.go:159.3,159.84 1 0
Qingyu_backend/config/viper_integration.go:159.84,161.4 1 0
Qingyu_backend/config/viper_integration.go:162.3,162.99 1 0
Qingyu_backend/config/viper_integration.go:162.99,164.4 1 0
Qingyu_backend/config/viper_integration.go:168.2,168.87 1 0
Qingyu_backend/config/viper_integration.go:168.87,169.87 1 0
Qingyu_backend/config/viper_integration.go:169.87,171.4 1 0
Qingyu_backend/config/viper_integration.go:172.3,172.82 1 0
Qingyu_backend/config/viper_integration.go:172.82,174.4 1 0
Qingyu_backend/config/viper_integration.go:175.3,175.87 1 0
Qingyu_backend/config/viper_integration.go:175.87,177.4 1 0
Qingyu_backend/config/viper_integration.go:178.3,178.91 1 0
Qingyu_backend/config/viper_integration.go:178.91,180.4 1 0
Qingyu_backend/config/viper_integration.go:181.3,181.99 1 0
Qingyu_backend/config/viper_integration.go:181.99,183.4 1 0
Qingyu_backend/config/viper_integration.go:186.2,186.12 1 0
Qingyu_backend/config/viper_integration.go:190.66,192.48 2 0
Qingyu_backend/config/viper_integration.go:192.48,197.17 3 0
Qingyu_backend/config/viper_integration.go:197.17,200.4 2 0
Qingyu_backend/config/viper_integration.go:203.3,203.22 1 0
Qingyu_backend/config/viper_integration.go:203.22,205.4 1 0
Qingyu_backend/config/viper_integration.go:210.54,212.2 1 0
Qingyu_backend/config/viper_integration.go:218.48,221.2 2 0
Qingyu_backend/config/viper_integration.go:224.60,225.31 1 0
Qingyu_backend/config/viper_integration.go:225.31,227.3 1 0
Qingyu_backend/config/viper_integration.go:228.2,228.48 1 0
